advertiser_id,product_type,likely,likely_reason,improvement,notusing_reason
10520510,free,8,very reliable,,
7857815,free,7,"We can easily got applicants for rank and file positions. however, we can't get managerial/supervisory positions in your site.",,
10148262,free,9,"Among the job websites that  have visited, yours is the most responsive in terms of getting applications for the job w have posted.","Nothing so far, all is okay.",
8023589,free,8,Really reliable and always have applicants. not perfect because not all applicants are honest and many do not come when scheduled for an interview.,It's free,
10455559,free,6,Out of 10 candidates only 1 candidate showed up for interview even those who confirmed did not show up.,,
10305100,free,9,I receive a lot of applicants but not all of them met our requirements but i received better applicants also.,Applicants must attached their resume and photos on their application.,
8052587,free,10,It's free and I get a lot of candidates here in this site. It is truly a job portal site that is the most viewed and visited among them all.,Lessen the ads so the job postings are more readable.,
10541949,free,10,Well satisfied.,,
9093988,free,8,Few candidates but with quality,To provide more candidates,
10527084,free,10,very effective,for now this is the best,
10551707,free,7,Very useful but im hoping for the enhancement on the visual of interface.,To view actual resume of applicants as the information that they key in is sometimes incomplete.,
10346859,free,10,Number of applicants that applied,None,
10365313,hosted,1,Very Few application,,
8101126,free,9,Good applicant hunter,Complete details of applicant.,
9168838,free,9,Lots of potential applicants,,
10534012,free,7,Indeed helps me in recruiting,i think this is to provide free sms to like chika where we can connect to applicants,
10593015,free,5,Free posting of jobs is not feasible to get applicants.,Giving chance to boost more the free postings of jobs.,
9253995,free,7,Had a good response on my posts but there are only few applicants/market for key positions.,Increase the pool of applicants.,
10399825,hosted,10,"satisfied with the speed of responses from applicants
organized in presentations",some resume of applicants are with incomplete information. could help if well presented complete information of applicants in their resume is presented.,
10448489,free,8,always provide current hiring/openings,,
9444369,free,0,I only got 3 applicants and no one applied with relevant work experience,,
8678334,free,9,I am satisfied with the service,filtering of applicants,
8084890,free,9,Free job postings,Ability to search resumes,
10294465,free,10,It help me a lot to find applicant.,maybe gave us longer free time for posting.,
2773684,free,10,Easy use of navigation. Fast and free.,Expand more on candidates.,
9093849,free,9,Provide applicant more efficient way.,all the details is already in there.,
9056452,free,8,"Ease of use, and it generates results.",none,
8497741,free,9,Great Website,the Indeedmail on the applicant's email bounced the emails.,few_candidates
10431384,free,9,We can get a high volume of applicants from your website and it's very easy to post our job ad,There is a need for option (note that an applicant who did not show for the interview,
6805172,free,9,effective in looking for candidates,post the personal info of the applicants,
9903786,free,9,"Easy to use, lots of interested applicants.","Filtering applicants according to qualifications (education, training, certifications) ; Require applicants to have a resume uploaded before applying (noticed some of the applicants I got did not have a resume on their profile yet).",no_hire
8280263,free,10,I hired 1 good candidate from Indeed.,None,hired_from_indeed
10363711,free,3,I did not receive any response from a single applicant.,,
7858275,free,7,I receive a lot of applications but some are not really qualified or some lack of information so I can't decide whether to contact for an interview or not.,"To screen more carefully the applications especially those applications that doesn't have any contact numbers, any experiences or educational information provided in their indeed resume because it is hard to know whether the said applicant is qualified or not.",
10612108,free,9,It's very helpful to all recruitment officer to find an applicant,Nothing,
10362574,free,10,"Because you gave us a lot of applicants. When i say a lot, it really means that BIG. and for free. We will and always refer your jobsite to other companies. Thank you so much.",Put more background color. Design the page. Advertise and promote it to the mid level companies until it reaches at the top level names.,
10467538,free,9,"You get immediate results . This means that as soon as you post the job vacancy, you can be assured of that you will start receiving  resumes and /or emails .",,
9493198,free,10,Good hiring website,Notification emails.,
10535322,free,8,it help us a lot in gathering applicants.,all the applicants should attached their resumes.,
10454939,free,10,I've gathered more profiles,,
3120377,free,9,I got lots of candidates.,Everything's good at the moment.,
10452045,free,8,Your system is easy to work with,None so far. Indeed do well with the present company that i am in,
523664,free,8,"i want indeed for hiring employees, its easy.",finding of applicants was so easy and not hassle for us.,no_hire
10174606,free,10,,,other
8869074,free,8,Reliable,Require applicant to send full resume w/ updated photo,
10488111,free,8,It is free.,I was able to hire 2 staff since I post my ads within a month.,
5125803,free,5,A lot of applications but not a lot of responses.,Maybe a better way to notify the applicants if they are sent a message.,
7826108,free,9,GOOD JOB PORTAL,EXTRACTION OF DETAILS VIA EXCEL,
3853160,free,9,Indeed is easy to use and navigate...,,
10309583,free,10,It's easy to publish a job advertisement.,"Make the job ads free for us, employers.Thanks!",
7766160,free,9,It is very reliable.,I would like to recommend that the resume of all the applicants must be detailed and updated.,
9380499,free,8,for improvement on the submission requirement of the applicants,to send resume everytime an applicant is interested,
10344854,free,8,because your job posting site is friendly user and i had alot of applicants,make it more friendly user,
10421608,free,10,Effectivity,,
9007121,free,10,we have received right applicants for the position and fast response,,
9206577,free,10,Updated and real,Show initial salary rate each job post,
9389479,free,4,"I remember our account got somehow suspended for unknown reason, so we started looking for another avenue.",,
10540105,free,2,4 because is my total work experience,Apply my self and improvements my skills,
10366680,free,8,"1. Easy website navigation and job posting.
2. Can post job ads for free","Give at lower rate for sponsored post or subscription which will be good for a year, semi annual, quarterly or monthly.",
4848560,free,10,Effective,None,
9273002,free,10,We do get good applicants,to require resume with pics.,
10158935,free,8,,,no_hire
1804370,free,10,Very convenient and accessible.,,
9235958,free,8,The system is simple and easy to use.,Have more fresh pool of candidates to for the employer to choose from.,
9348241,free,10,Highly recommend.,,
8630379,free,8,good,more options,
10469453,free,8,It is able to provide applicants fit for the job description,"Some applicants do not make it for their scheduled interview. But that is not enough reason to ""tag"" the applicant as "" not recommended for hire"".  I suggest another option button for such scenario",
7970587,free,10,because cost efficient and can be use easily,non as of this moment because it gives us what we need in recruitment.,
10576903,free,9,it is very useful for employer to get new employees.,hope that the resume has picture of the applicant and the contact numbers of the applicant is reachable.,
10346849,free,10,Got good candidates for screening.,None so far. I still need to explore more.,
6640318,free,6,applicants from your  database is ready and available,Indeed must have a more likely strategic move in marketing,
10425066,free,10,Super easy. Not a lot of fancy glare but it serves the purpose eaxctly as it is suppose to.,"Contact number verification
Free sms option",
10320622,free,10,I would recommend indeed because it is free and helpful to employers and job seekers as well.,,
10223325,free,10,"When I posted at Indeed, lots of applicants replied.",keep up the good site,
2686101,free,8,help us recruit more candidate,hope the ads is fully free,hired_from_indeed
8063937,free,10,"Free job posting, scheduling and email applicants.",Salary report for Philippines and resume search.,
10280568,free,9,,Provide a more specified details about a candidate / include attachment of their real cvs.,
8280542,free,10,Affordability,Nothing,
8418931,free,10,Very easy to find applicant and have very wide connections.,,
9306262,free,7,The site is known by many people and it is free,"Most of the candidates do not respond or do not show up for the interview, it would be better if there is a screened list of applicants who previously has record of no show for their scheduled interviews.",
6493485,free,10,SATISFIED,NONE,
9330269,free,10,"very reliable tool to search for candidates. More importantly, it is for free.",to allow employers to make their own set of questions rather than providing keywords.,
9443959,free,10,Indeed is awesome tool for recruitment.,Free Resume search perhaps. Thank you for your generosity.,
10534825,free,10,very effective in sourcing of applicants,,
5982513,free,5,,forward hirees only on what is required,no_hire
10364767,free,5,I called the applicant and texted but I did not get a reply to her application.,More resume submissions,
9722026,free,10,easy and simple  process,,
2367233,free,8,I usually used the indeed to search people To work in our office but some of here posted are not in carmona area. They not filter it well.,,
9399668,free,10,I got a good number of applications,,
10279852,free,10,"Gives  good pool of applicants, easy to use and very user friendly.",Please make the indeed resume more detailed especially the contact number.,
6712814,free,8,RELIABLE,NONE,
10235929,free,8,Good response by the applicants,the resume should be more detailed with picture,
10626196,free,9,Its easily to access and the site is a user friendly.,To lessen the 72 hours processing of Job Posting for the newly user of the site.,
10346484,free,8,,Can you require the applicant to send an updated Resume with their picture.,
10399581,free,10,i received so many applications,none that i could think of,
10574695,free,10,We gathered a lot of applicants,So far youre doing great job. Indeed.,
7882152,free,9,"Aside from the fact that it's free, we can post as many postings as we could and the post does not expire thus, I continuously receive applications.",,
10064848,free,8,Relevant source of candidates,,
4539479,free,8,applicant applied for are not a recycled one but really the one that needed employment?,none,hired_from_indeed
10364325,free,10,I like that you automaticall forward resumes to me of applicants in your data base.,,
10365657,free,5,Most of the applicants did not give any feedback or confirm when asked for an interview.,,
10428501,free,7,This job postal is quite effective and cost-saving but need a little bit more upgrade or something new to be no.1,"more detailed information of the applicants and for me, it is more effective if we (recruiters) can also post a picture for job posting. What do you think? 
We can attract more candidates and recruiters as well.",
10281167,free,8,Free and easy to place job ads,More simple and basic,
10470537,free,10,"Easy to use, convenient, and is free","fasten job post even it is for free
improve formatting/web layout/make it more fascinating to the applicants
keep it free for all",
6562881,free,8,Applicants posted are many but only few respond,,
